Date,Actual,Predicted,Percentage Difference (%),Abs_Percentage_Diff
2019-03-21,18.268,14.726793,-19.384753179414442,19.384753179414442
2019-03-22,17.635332,14.40859,-18.297028279521687,18.297028279521687
2019-03-25,17.361334,14.384513,-17.146269397811523,17.146269397811523
2019-03-26,17.851334,14.5048275,-18.746534576129452,18.746534576129452
2019-03-27,18.322001,14.434187,-21.21937480832577,21.21937480832577
2019-03-28,18.574667,14.489502,-21.993207452252044,21.993207452252044
2019-03-29,18.657333,14.597777,-21.758499102534202,21.758499102534202
2019-04-01,19.278667,14.80401,-23.21040458224963,23.21040458224963
2019-04-02,19.058666,14.808988,-22.29787951846852,22.29787951846852
2019-04-03,19.454,14.852309,-23.654213904648167,23.654213904648167
2019-04-04,17.851999,17.811613,-0.22622630168339747,0.22622630168339747
2019-04-05,18.330667,14.953913,-18.42133875987517,18.42133875987517
2019-04-08,18.213333,14.971093,-17.80146347845608,17.80146347845608
2019-04-09,18.153999,14.868355,-18.09873517474975,18.09873517474975
2019-04-10,18.403999,14.933389,-18.85791392391418,18.85791392391418
2019-04-11,17.894667,14.919836,-16.62412022357541,16.62412022357541
2019-04-12,17.846666,15.022344,-15.825490119224044,15.825490119224044
2019-04-15,17.758667,15.0184355,-15.4303896896628,15.4303896896628
2019-04-16,18.224001,15.022409,-17.567994870682277,17.567994870682277
2019-04-17,18.082001,14.977236,-17.170473588252865,17.170473588252865
2019-04-18,18.217333,15.002205,-17.648731046308857,17.648731046308857
2019-04-22,17.516666,15.030172,-14.195016631461375,14.195016631461375
2019-04-23,17.593332,15.174678,-13.74756158290017,13.74756158290017
2019-04-24,17.243999,15.137537,-12.215623518863126,12.215623518863126
2019-04-25,16.508667,17.03367,3.180168486135434,3.180168486135434
2019-04-26,15.676,17.31972,10.485578684455186,10.485578684455186
2019-04-29,16.098,15.406296,-4.296833293780666,4.296833293780666
2019-04-30,15.912667,15.209974,-4.415932986340826,4.415932986340826
2019-05-01,15.600667,15.122848,-3.062814192060689,3.062814192060689
2019-05-02,16.273333,15.609627,-4.07848982123373,4.07848982123373
2019-05-03,17.002001,18.26815,7.447060670034332,7.447060670034332
2019-05-06,17.022667,15.208778,-10.65572520834921,10.65572520834921
2019-05-07,16.470667,14.933717,-9.331438890806199,9.331438890806199
2019-05-08,16.322666,14.884609,-8.810183199165456,8.810183199165456
2019-05-09,16.132,14.819647,-8.135092763903131,8.135092763903131
2019-05-10,15.968,14.878658,-6.82202971769956,6.82202971769956
2019-05-13,15.134,14.448999,-4.526236256725081,4.526236256725081
2019-05-14,15.487333,14.581944,-5.845993847764444,5.845993847764444
2019-05-15,15.463333,14.667343,-5.147595672624802,5.147595672624802
